# I -> IDUP_D
# M -> MOTHUP_D
# C -> ICOLUP_D
I      1      1       2 21 -11 11 2 21
M      1      1      1        0   0   1   1   1   1
M      1      2      1        0   0   2   2   2   2
C      1      1      1      503 501   0   0 501 503
C      1      2      1        0 502   0   0   0 502
C      1      1      2      502 503   0   0 501 503
C      1      2      2        0 502   0   0   0 501
I      1      2       2 21 -13 13 2 21
M      1      1      2        0   0   1   1   1   1
M      1      2      2        0   0   2   2   2   2
I      1      3       4 21 -11 11 4 21
M      1      1      3        0   0   1   1   1   1
M      1      2      3        0   0   2   2   2   2
I      1      4       4 21 -13 13 4 21
M      1      1      4        0   0   1   1   1   1
M      1      2      4        0   0   2   2   2   2
I      2      1       2 21 -11 11 2 21
M      2      1      1        0   0   1   1   1   1
M      2      2      1        0   0   2   2   2   2
C      2      1      1      503 501   0   0 501 503
C      2      2      1        0 502   0   0   0 502
C      2      1      2      502 503   0   0 501 503
C      2      2      2        0 502   0   0   0 501
I      2      2       2 21 -13 13 2 21
M      2      1      2        0   0   1   1   1   1
M      2      2      2        0   0   2   2   2   2
I      2      3       4 21 -11 11 4 21
M      2      1      3        0   0   1   1   1   1
M      2      2      3        0   0   2   2   2   2
I      2      4       4 21 -13 13 4 21
M      2      1      4        0   0   1   1   1   1
M      2      2      4        0   0   2   2   2   2
I      3      1       2 21 -11 11 2 21
M      3      1      1        0   0   1   1   1   1
M      3      2      1        0   0   2   2   2   2
C      3      1      1      503 501   0   0 501 503
C      3      2      1        0 502   0   0   0 502
C      3      1      2      502 503   0   0 501 503
C      3      2      2        0 502   0   0   0 501
I      3      2       2 21 -13 13 2 21
M      3      1      2        0   0   1   1   1   1
M      3      2      2        0   0   2   2   2   2
I      3      3       4 21 -11 11 4 21
M      3      1      3        0   0   1   1   1   1
M      3      2      3        0   0   2   2   2   2
I      3      4       4 21 -13 13 4 21
M      3      1      4        0   0   1   1   1   1
M      3      2      4        0   0   2   2   2   2
I      4      1       21 21 -11 11 2 -2
M      4      1      1        0   0   1   1   1   1
M      4      2      1        0   0   2   2   2   2
C      4      1      1      501 502   0   0 501   0
C      4      2      1      502 503   0   0   0 503
C      4      1      2      503 501   0   0 501   0
C      4      2      2      502 503   0   0   0 502
I      4      2       21 21 -13 13 2 -2
M      4      1      2        0   0   1   1   1   1
M      4      2      2        0   0   2   2   2   2
I      4      3       21 21 -11 11 4 -4
M      4      1      3        0   0   1   1   1   1
M      4      2      3        0   0   2   2   2   2
I      4      4       21 21 -13 13 4 -4
M      4      1      4        0   0   1   1   1   1
M      4      2      4        0   0   2   2   2   2
I      5      1       2 -1 -11 11 2 -1
M      5      1      1        0   0   1   1   1   1
M      5      2      1        0   0   2   2   2   2
C      5      1      1      501   0   0   0 502   0
C      5      2      1        0 501   0   0   0 502
C      5      1      2      502   0   0   0 502   0
C      5      2      2        0 501   0   0   0 501
I      5      2       2 -3 -11 11 2 -3
M      5      1      2        0   0   1   1   1   1
M      5      2      2        0   0   2   2   2   2
I      5      3       2 -5 -11 11 2 -5
M      5      1      3        0   0   1   1   1   1
M      5      2      3        0   0   2   2   2   2
I      5      4       2 -1 -13 13 2 -1
M      5      1      4        0   0   1   1   1   1
M      5      2      4        0   0   2   2   2   2
I      5      5       2 -3 -13 13 2 -3
M      5      1      5        0   0   1   1   1   1
M      5      2      5        0   0   2   2   2   2
I      5      6       2 -5 -13 13 2 -5
M      5      1      6        0   0   1   1   1   1
M      5      2      6        0   0   2   2   2   2
I      5      7       4 -1 -11 11 4 -1
M      5      1      7        0   0   1   1   1   1
M      5      2      7        0   0   2   2   2   2
I      5      8       4 -3 -11 11 4 -3
M      5      1      8        0   0   1   1   1   1
M      5      2      8        0   0   2   2   2   2
I      5      9       4 -5 -11 11 4 -5
M      5      1      9        0   0   1   1   1   1
M      5      2      9        0   0   2   2   2   2
I      5     10       4 -1 -13 13 4 -1
M      5      1     10        0   0   1   1   1   1
M      5      2     10        0   0   2   2   2   2
I      5     11       4 -3 -13 13 4 -3
M      5      1     11        0   0   1   1   1   1
M      5      2     11        0   0   2   2   2   2
I      5     12       4 -5 -13 13 4 -5
M      5      1     12        0   0   1   1   1   1
M      5      2     12        0   0   2   2   2   2
I      6      1       2 1 -11 11 2 1
M      6      1      1        0   0   1   1   1   1
M      6      2      1        0   0   2   2   2   2
C      6      1      1      501 502   0   0 501 502
C      6      2      1        0   0   0   0   0   0
C      6      1      2      502 501   0   0 501 502
C      6      2      2        0   0   0   0   0   0
I      6      2       2 3 -11 11 2 3
M      6      1      2        0   0   1   1   1   1
M      6      2      2        0   0   2   2   2   2
I      6      3       2 5 -11 11 2 5
M      6      1      3        0   0   1   1   1   1
M      6      2      3        0   0   2   2   2   2
I      6      4       2 1 -13 13 2 1
M      6      1      4        0   0   1   1   1   1
M      6      2      4        0   0   2   2   2   2
I      6      5       2 3 -13 13 2 3
M      6      1      5        0   0   1   1   1   1
M      6      2      5        0   0   2   2   2   2
I      6      6       2 5 -13 13 2 5
M      6      1      6        0   0   1   1   1   1
M      6      2      6        0   0   2   2   2   2
I      6      7       4 1 -11 11 4 1
M      6      1      7        0   0   1   1   1   1
M      6      2      7        0   0   2   2   2   2
I      6      8       4 3 -11 11 4 3
M      6      1      8        0   0   1   1   1   1
M      6      2      8        0   0   2   2   2   2
I      6      9       4 5 -11 11 4 5
M      6      1      9        0   0   1   1   1   1
M      6      2      9        0   0   2   2   2   2
I      6     10       4 1 -13 13 4 1
M      6      1     10        0   0   1   1   1   1
M      6      2     10        0   0   2   2   2   2
I      6     11       4 3 -13 13 4 3
M      6      1     11        0   0   1   1   1   1
M      6      2     11        0   0   2   2   2   2
I      6     12       4 5 -13 13 4 5
M      6      1     12        0   0   1   1   1   1
M      6      2     12        0   0   2   2   2   2
I      7      1       2 -2 -11 11 2 -2
M      7      1      1        0   0   1   1   1   1
M      7      2      1        0   0   2   2   2   2
C      7      1      1      501   0   0   0 502   0
C      7      2      1        0 501   0   0   0 502
C      7      1      2      502   0   0   0 502   0
C      7      2      2        0 501   0   0   0 501
I      7      2       2 -2 -13 13 2 -2
M      7      1      2        0   0   1   1   1   1
M      7      2      2        0   0   2   2   2   2
I      7      3       4 -4 -11 11 4 -4
M      7      1      3        0   0   1   1   1   1
M      7      2      3        0   0   2   2   2   2
I      7      4       4 -4 -13 13 4 -4
M      7      1      4        0   0   1   1   1   1
M      7      2      4        0   0   2   2   2   2
I      8      1       2 2 -11 11 2 2
M      8      1      1        0   0   1   1   1   1
M      8      2      1        0   0   2   2   2   2
C      8      1      1      501 502   0   0 501 502
C      8      2      1        0   0   0   0   0   0
C      8      1      2      502 501   0   0 501 502
C      8      2      2        0   0   0   0   0   0
I      8      2       2 2 -13 13 2 2
M      8      1      2        0   0   1   1   1   1
M      8      2      2        0   0   2   2   2   2
I      8      3       4 4 -11 11 4 4
M      8      1      3        0   0   1   1   1   1
M      8      2      3        0   0   2   2   2   2
I      8      4       4 4 -13 13 4 4
M      8      1      4        0   0   1   1   1   1
M      8      2      4        0   0   2   2   2   2
I      9      1       2 -4 -11 11 2 -4
M      9      1      1        0   0   1   1   1   1
M      9      2      1        0   0   2   2   2   2
C      9      1      1      501   0   0   0 502   0
C      9      2      1        0 501   0   0   0 502
C      9      1      2      502   0   0   0 502   0
C      9      2      2        0 501   0   0   0 501
I      9      2       2 -4 -13 13 2 -4
M      9      1      2        0   0   1   1   1   1
M      9      2      2        0   0   2   2   2   2
I      9      3       4 -2 -11 11 4 -2
M      9      1      3        0   0   1   1   1   1
M      9      2      3        0   0   2   2   2   2
I      9      4       4 -2 -13 13 4 -2
M      9      1      4        0   0   1   1   1   1
M      9      2      4        0   0   2   2   2   2
I     10      1       2 4 -11 11 2 4
M     10      1      1        0   0   1   1   1   1
M     10      2      1        0   0   2   2   2   2
C     10      1      1      501 502   0   0 501 502
C     10      2      1        0   0   0   0   0   0
C     10      1      2      502 501   0   0 501 502
C     10      2      2        0   0   0   0   0   0
I     10      2       2 4 -13 13 2 4
M     10      1      2        0   0   1   1   1   1
M     10      2      2        0   0   2   2   2   2
I     10      3       4 2 -11 11 4 2
M     10      1      3        0   0   1   1   1   1
M     10      2      3        0   0   2   2   2   2
I     10      4       4 2 -13 13 4 2
M     10      1      4        0   0   1   1   1   1
M     10      2      4        0   0   2   2   2   2
