# I -> IDUP_D
# M -> MOTHUP_D
# C -> ICOLUP_D
I      1      1       -2 -4 -11 11 -2 -4 21
M      1      1      1        0   0   1   1   1   1   1
M      1      2      1        0   0   2   2   2   2   2
C      1      1      1        0   0   0   0   0   0 503
C      1      2      1      501 502   0   0 501 503 502
C      1      1      2        0   0   0   0   0   0 503
C      1      2      2      501 502   0   0 503 501 502
C      1      1      3        0   0   0   0   0   0 503
C      1      2      3      501 502   0   0 502 503 501
C      1      1      4        0   0   0   0   0   0 503
C      1      2      4      501 502   0   0 503 502 501
I      1      2       -2 -4 -13 13 -2 -4 21
M      1      1      2        0   0   1   1   1   1   1
M      1      2      2        0   0   2   2   2   2   2
I      1      3       -4 -2 -11 11 -4 -2 21
M      1      1      3        0   0   1   1   1   1   1
M      1      2      3        0   0   2   2   2   2   2
I      1      4       -4 -2 -13 13 -4 -2 21
M      1      1      4        0   0   1   1   1   1   1
M      1      2      4        0   0   2   2   2   2   2
I      2      1       -2 -4 -11 11 -2 -4 21
M      2      1      1        0   0   1   1   1   1   1
M      2      2      1        0   0   2   2   2   2   2
C      2      1      1        0   0   0   0   0   0 503
C      2      2      1      501 502   0   0 501 503 502
C      2      1      2        0   0   0   0   0   0 503
C      2      2      2      501 502   0   0 503 501 502
C      2      1      3        0   0   0   0   0   0 503
C      2      2      3      501 502   0   0 502 503 501
C      2      1      4        0   0   0   0   0   0 503
C      2      2      4      501 502   0   0 503 502 501
I      2      2       -2 -4 -13 13 -2 -4 21
M      2      1      2        0   0   1   1   1   1   1
M      2      2      2        0   0   2   2   2   2   2
I      2      3       -4 -2 -11 11 -4 -2 21
M      2      1      3        0   0   1   1   1   1   1
M      2      2      3        0   0   2   2   2   2   2
I      2      4       -4 -2 -13 13 -4 -2 21
M      2      1      4        0   0   1   1   1   1   1
M      2      2      4        0   0   2   2   2   2   2
I      3      1       -2 -4 -11 11 -2 -4 21
M      3      1      1        0   0   1   1   1   1   1
M      3      2      1        0   0   2   2   2   2   2
C      3      1      1        0   0   0   0   0   0 503
C      3      2      1      501 502   0   0 501 503 502
C      3      1      2        0   0   0   0   0   0 503
C      3      2      2      501 502   0   0 503 501 502
C      3      1      3        0   0   0   0   0   0 503
C      3      2      3      501 502   0   0 502 503 501
C      3      1      4        0   0   0   0   0   0 503
C      3      2      4      501 502   0   0 503 502 501
I      3      2       -2 -4 -13 13 -2 -4 21
M      3      1      2        0   0   1   1   1   1   1
M      3      2      2        0   0   2   2   2   2   2
I      3      3       -4 -2 -11 11 -4 -2 21
M      3      1      3        0   0   1   1   1   1   1
M      3      2      3        0   0   2   2   2   2   2
I      3      4       -4 -2 -13 13 -4 -2 21
M      3      1      4        0   0   1   1   1   1   1
M      3      2      4        0   0   2   2   2   2   2
I      4      1       -2 -4 -11 11 -2 -4 21
M      4      1      1        0   0   1   1   1   1   1
M      4      2      1        0   0   2   2   2   2   2
C      4      1      1        0   0   0   0   0   0 503
C      4      2      1      501 502   0   0 501 503 502
C      4      1      2        0   0   0   0   0   0 503
C      4      2      2      501 502   0   0 503 501 502
C      4      1      3        0   0   0   0   0   0 503
C      4      2      3      501 502   0   0 502 503 501
C      4      1      4        0   0   0   0   0   0 503
C      4      2      4      501 502   0   0 503 502 501
I      4      2       -2 -4 -13 13 -2 -4 21
M      4      1      2        0   0   1   1   1   1   1
M      4      2      2        0   0   2   2   2   2   2
I      4      3       -4 -2 -11 11 -4 -2 21
M      4      1      3        0   0   1   1   1   1   1
M      4      2      3        0   0   2   2   2   2   2
I      4      4       -4 -2 -13 13 -4 -2 21
M      4      1      4        0   0   1   1   1   1   1
M      4      2      4        0   0   2   2   2   2   2
I      5      1       21 -4 -11 11 2 -2 -4
M      5      1      1        0   0   1   1   1   1   1
M      5      2      1        0   0   2   2   2   2   2
C      5      1      1      501   0   0   0 502   0   0
C      5      2      1      503 501   0   0   0 503 502
C      5      1      2      501   0   0   0 502   0   0
C      5      2      2      503 501   0   0   0 502 503
C      5      1      3      502   0   0   0 502   0   0
C      5      2      3      503 501   0   0   0 503 501
C      5      1      4      502   0   0   0 502   0   0
C      5      2      4      503 501   0   0   0 501 503
I      5      2       21 -4 -13 13 2 -2 -4
M      5      1      2        0   0   1   1   1   1   1
M      5      2      2        0   0   2   2   2   2   2
I      5      3       21 -2 -11 11 4 -4 -2
M      5      1      3        0   0   1   1   1   1   1
M      5      2      3        0   0   2   2   2   2   2
I      5      4       21 -2 -13 13 4 -4 -2
M      5      1      4        0   0   1   1   1   1   1
M      5      2      4        0   0   2   2   2   2   2
I      6      1       -2 21 -11 11 4 -2 -4
M      6      1      1        0   0   1   1   1   1   1
M      6      2      1        0   0   2   2   2   2   2
C      6      1      1        0 502   0   0 502   0   0
C      6      2      1      501 503   0   0   0 501 503
C      6      1      2        0 502   0   0 502   0   0
C      6      2      2      501 503   0   0   0 503 501
C      6      1      3        0 501   0   0 502   0   0
C      6      2      3      501 503   0   0   0 503 502
C      6      1      4        0 501   0   0 502   0   0
C      6      2      4      501 503   0   0   0 502 503
I      6      2       -2 21 -13 13 4 -2 -4
M      6      1      2        0   0   1   1   1   1   1
M      6      2      2        0   0   2   2   2   2   2
I      6      3       -4 21 -11 11 2 -4 -2
M      6      1      3        0   0   1   1   1   1   1
M      6      2      3        0   0   2   2   2   2   2
I      6      4       -4 21 -13 13 2 -4 -2
M      6      1      4        0   0   1   1   1   1   1
M      6      2      4        0   0   2   2   2   2   2
